县名,規範碼,舊規範碼,地名分類,緯度,經度,行政區,屬,BEG,END,年代,朝代
姑臧,PL000000045049,CN0620602Z07AA,中研院歷史地名 ,37.9272,102.6438,中國-甘肅省-武威市-涼州區,涼州刺史部,24,220,（24 ~ 220）,东汉
鸞鳥,PL000000045075,CN0620602Z33AA,中研院歷史地名 ,37.7078,102.6411,中國-甘肅省-武威市-涼州區,涼州刺史部,24,220,（24 ~ 220）,东汉
張掖,PL000000045081,CN0620602Z39AA,中研院歷史地名 ,37.5284,102.6655,中國-甘肅省-武威市-涼州區,涼州刺史部,24,220,（24 ~ 220）,东汉
蒼松,PL000000045083,CN0620602Z41AA,中研院歷史地名 ,37.6613,102.7873,中國-甘肅省-武威市-涼州區,涼州刺史部,24,220,（24 ~ 220）,东汉
武威,PL000000045117,CN0620621Z01AA,中研院歷史地名 ,38.8245,103.5322,中國-甘肅省-武威市-民勤縣,涼州刺史部,24,220,（24 ~ 220）,东汉
宣威,PL000000045128,CN0620621Z12AA,中研院歷史地名 ,38.5024,102.9956,中國-甘肅省-武威市-民勤縣,涼州刺史部,24,220,（24 ~ 220）,东汉
樸,PL000000045166,CN0620622Z23AA,中研院歷史地名 ,37.5732,103.2432,中國-甘肅省-武威市-古浪縣,涼州刺史部,24,220,（24 ~ 220）,东汉
屋蘭,PL000000045202,CN0620702Z18AA,中研院歷史地名 ,38.8805,100.6928,中國-甘肅省-張掖市-甘州區,涼州刺史部,24,220,（24 ~ 220）,东汉
觻得,PL000000045211,CN0620702Z27AA,中研院歷史地名 ,39.0885,100.3781,中國-甘肅省-張掖市-甘州區,涼州刺史部,24,220,（24 ~ 220）,东汉
氐池,PL000000045259,CN0620722Z14AA,中研院歷史地名 ,38.4324,100.8196,中國-甘肅省-張掖市-民樂縣,涼州刺史部,24,220,（24 ~ 220）,东汉
昭武,PL000000045271,CN0620723Z07AA,中研院歷史地名 ,39.3373,100.2586,中國-甘肅省-張掖市-臨澤縣,涼州刺史部,24,220,（24 ~ 220）,东汉
表氏,PL000000045307,CN0620724Z22AA,中研院歷史地名 ,39.3949,99.6096,中國-甘肅省-張掖市-高臺縣,涼州刺史部,24,220,（24 ~ 220）,东汉
刪丹,PL000000045334,CN0620725Z13AA,中研院歷史地名 ,38.7815,101.097,中國-甘肅省-張掖市-山丹縣,涼州刺史部,24,220,（24 ~ 220）,东汉
鶉觚,PL000000045435,CN0620821Z30AA,中研院歷史地名 ,35.2307,107.6325,中國-甘肅省-平涼市-涇川縣,涼州刺史部,24,220,（24 ~ 220）,东汉
阿陽,PL000000045534,CN0620826Z12AA,中研院歷史地名 ,35.4794,105.6721,中國-甘肅省-平涼市-靜寧縣,涼州刺史部,24,220,（24 ~ 220）,东汉
成紀,PL000000045545,CN0620826Z23AA,中研院歷史地名 ,35.2913,105.5671,中國-甘肅省-平涼市-靜寧縣,涼州刺史部,24,220,（24 ~ 220）,东汉
祿福,PL000000045567,CN0620902Z17AA,中研院歷史地名 ,39.7456,98.5203,中國-甘肅省-酒泉市-肅州區,涼州刺史部,24,220,（24 ~ 220）,东汉
樂涫,PL000000045573,CN0620902Z23AA,中研院歷史地名 ,39.5356,98.9455,中國-甘肅省-酒泉市-肅州區,涼州刺史部,24,220,（24 ~ 220）,东汉
會水,PL000000045618,CN0620921Z17AA,中研院歷史地名 ,39.8785,99.379,中國-甘肅省-酒泉市-金塔縣,涼州刺史部,24,220,（24 ~ 220）,东汉
