passageId,name,id,oldid,type,JingDu,WeuDu,HangZhengGou,Shu,start,end,dynasty,level
passage145,鄴縣,PL000000001470,CN0130423Z11AA,中研院歷史地名 ,114.4041,36.2817,中國-河北省-邯鄲市-臨漳縣,冀州刺史部,24,220,東漢,縣
passage146,元城,PL000000001527,CN0130425Z18AA,中研院歷史地名 ,115.3135,36.3218,中國-河北省-邯鄲市-大名縣,冀州刺史部,24,220,東漢,縣
passage147,魏縣,PL000000001555,CN0130425Z46AA,中研院歷史地名 ,115.094,36.2625,中國-河北省-邯鄲市-大名縣,冀州刺史部,24,220,東漢,縣
passage148,涉國,PL000000001572,CN0130426Z09AA,中研院歷史地名 ,113.649,36.5654,中國-河北省-邯鄲市-涉縣,冀州刺史部,24,220,東漢,縣
passage149,梁期,PL000000001598,CN0130427Z02AA,中研院歷史地名 ,114.4703,36.4734,中國-河北省-邯鄲市-磁縣,冀州刺史部,24,220,東漢,縣
passage150,列人,PL000000001622,CN0130428Z06AA,中研院歷史地名 ,114.851,36.6208,中國-河北省-邯鄲市-肥鄉縣,冀州刺史部,24,220,東漢,縣
passage151,廣年,PL000000001643,CN0130429Z04AA,中研院歷史地名 ,114.6862,36.797,中國-河北省-邯鄲市-永年縣,冀州刺史部,24,220,東漢,縣
passage152,易陽,PL000000001654,CN0130429Z15AA,中研院歷史地名 ,114.6355,36.7102,中國-河北省-邯鄲市-永年縣,冀州刺史部,24,220,東漢,縣
passage153,曲梁,PL000000001658,CN0130429Z19AA,中研院歷史地名 ,114.739,36.7087,中國-河北省-邯鄲市-永年縣,冀州刺史部,24,220,東漢,縣
passage154,曲周,PL000000001681,CN0130430Z04AA,中研院歷史地名 ,115.0811,36.9001,中國-河北省-邯鄲市-邱縣,冀州刺史部,24,220,東漢,縣
passage155,斥丘,PL000000001709,CN0130432Z08AA,中研院歷史地名 ,114.8475,36.3966,中國-河北省-邯鄲市-廣平縣,冀州刺史部,24,220,東漢,縣
passage156,清淵,PL000000001716,CN0130433Z04AA,中研院歷史地名 ,115.3895,36.6941,中國-河北省-邯鄲市-館陶縣,冀州刺史部,24,220,東漢,縣
passage157,館陶,PL000000001732,CN0130433Z20AA,中研院歷史地名 ,115.3076,36.5335,中國-河北省-邯鄲市-館陶縣,冀州刺史部,24,220,東漢,縣
passage158,廣平,PL000000001746,CN0130435Z02AA,中研院歷史地名 ,114.9722,36.8966,中國-河北省-邯鄲市-曲周縣,冀州刺史部,24,220,東漢,縣
passage159,斥章,PL000000001758,CN0130435Z14AA,中研院歷史地名 ,114.9426,36.7222,中國-河北省-邯鄲市-曲周縣,冀州刺史部,24,220,東漢,縣
