sequence,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,BEG_CHG_TY,END_YR,END_RULE,END_CHG_TY,NOTE_ID,OBJ_TYPE,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,FILENAME,X_Y_TYPE,SYS_ID_IN_MAIN_BOU_ID,SYS_ID_IN_MAIN_PT_ID
15148,221499,Jing Zhou,荆州,荊州,0,0,,Zhou,州,3,625,4,辖区扩大,626,4,辖区扩大,98040,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15149,221500,Yu Zhou,玉州,玉州,0,0,,Zhou,州,3,623,4,更名,624,4,撤销,34445,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15150,221501,Ping Zhou,平州,平州,0,0,,Zhou,州,3,621,4,新建,622,4,更名,34444,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15151,221502,Jing Zhou,荆州,荊州,0,0,,Zhou,州,3,621,4,更名,624,4,辖区扩大,98043,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15152,221503,Nan Jun,南郡,南郡,0,0,,Jun,郡,3,607,4,更名,620,4,更名,34447,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15153,221504,Jiang Zhou,江州,江州,0,0,,Zhou,州,3,619,4,新建,622,4,更名,34458,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15154,221505,Dongsong Zhou,东松州,東松州,0,0,,Zhou,州,3,623,4,更名,624,4,辖区扩大,98046,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15155,221506,Jiang Zhou,江州,江州,0,0,,Zhou,州,3,619,4,新建,620,4,撤销,34461,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15156,221507,Mu Zhou,睦州,睦州,0,0,,Zhou,州,3,621,4,新建,624,4,撤销,34460,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15157,221508,Dongsong Zhou,东松州,東松州,0,0,,Zhou,州,3,625,4,辖区扩大,633,4,撤销,98049,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15158,221509,Xia Zhou,峡州,峽州,0,0,,Zhou,州,3,621,4,更名,633,4,辖区扩大,98050,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15159,221510,Yiling Jun,夷陵郡,夷陵郡,0,0,,Jun,郡,3,607,4,更名,620,4,更名,34462,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15160,221511,Gui Zhou,归州,歸州,0,0,,Zhou,州,3,619,4,新建,741,4,更名,34467,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15161,221512,Badong Jun,巴东郡,巴東郡,0,0,,Jun,郡,3,742,4,更名,757,4,更名,34466,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15162,221513,Gui Zhou,归州,歸州,0,0,,Zhou,州,3,758,4,更名,1276,4,更名,98054,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15163,221514,Jingmen Fu,荆门府,荊門府,0,0,,Fu,府,3,1277,4,更名,1277,4,更名,34329,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15164,221515,Xia Zhou,峡州,峽州,0,0,,Zhou,州,3,634,4,辖区扩大,741,4,更名,98056,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15165,221516,Yiling Jun,夷陵郡,夷陵郡,0,0,,Jun,郡,3,742,4,更名,757,4,更名,34455,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15166,221517,Xia Zhou,峡州,峽州,0,0,,Zhou,州,3,758,4,更名,1279,4,更名,98058,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
