fuzzy_nm,tgaz_nm_trad,tgaz_beg,tgaz_prnt_py,tgaz_sys_id,tgaz_prnt_sysid,tgaz_type_ch,tgaz_y_coord,tgaz_pres_loc,tgaz_prnt_simp,tgaz_end,tgaz_prnt_id,tgaz_nm_py,tgaz_type_py,tgaz_nm_simp,tgaz_obj_type,tgaz_data_source,tgaz_x_coord,input_x_coord,input_id,input_y_coord,input_dynasty,input_nm_trad,input_year_beg,input_year_end,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
唐縣,唐縣,-221.0,Hengshan Jun,hvd_87248,hvd_87077,县,38.82413,今河北唐县北固城村,恒山郡,13.0,22281,Tang Xian,Xian,唐县,POINT,CHGIS,115.02762,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,23.0,Zhongshan Guo,hvd_87250,hvd_112253,县,38.82413,今河北唐县北固城村,中山国,0.0,30755,Tang Xian,Xian,唐县,POINT,CHGIS,115.02762,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,0
唐縣,唐縣,1911.0,Baoding Fu,hvd_121470,hvd_120154,县,38.74149,河北唐县治,保定府,1911.0,33058,Tang Xian,Xian,唐县,POINT,CHGIS,114.96915,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1911.0,Nanyang Fu,hvd_121924,hvd_120243,县,32.69771,河南唐河县县治,南阳府,1911.0,33130,Tang Xian,Xian,唐县,POINT,CHGIS,112.83252,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣鎮,1911.0,Sui Zhou,hvd_128420,hvd_121162,村镇,31.98609,湖北随州市唐店镇,随州,1911.0,33482,Tangxianzhen,Cun Zhen,唐县镇,POINT,CHGIS,113.12449,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1911.0,Baoding Fu,hvd_196609,hvd_195209,县,38.74149,,保定府,1911.0,75507,Tang Xian,Xian,唐县,POLYGON,CHGIS,0.0,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1911.0,Nanyang Fu,hvd_196931,hvd_195296,县,32.69771,,南阳府,1911.0,75581,Tang Xian,Xian,唐县,POLYGON,CHGIS,0.0,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
高陽,高陽縣,1820.0,Baoding Fu,hvd_25,hvd_9506,县,38.68891,河北高阳县,保定府,1820.0,1996,Gaoyang,Xian,高阳县,POINT,CHGIS,115.7742,115.913,PL000000002249,38.6889,东汉,高陽,24.0,220.0,found,False,True,False,False,,1
高陽,高陽鎮,1820.0,Kuizhou Fu,hvd_21328,hvd_9709,村镇,31.07132,四川云阳县西北高阳镇,夔州府,1820.0,2187,Gaoyangzhen,Cun Zhen,高阳镇,POINT,CHGIS,108.69599,115.913,PL000000002249,38.6889,东汉,高陽,24.0,220.0,found,False,False,False,False,,0
高陽,高陽縣,1077.0,Shunan Jun,hvd_44787,hvd_87737,县,38.68215,今河北高阳县驻地高阳镇东旧城镇,顺安军,1369.0,22875,Gaoyang Xian,Xian,高阳县,POINT,CHGIS,115.9199,115.913,PL000000002249,38.6889,东汉,高陽,24.0,220.0,found,False,False,False,False,,0
高陽,高陽縣,1370.0,An Zhou,hvd_44788,hvd_87743,县,38.68891,今河北省高阳县驻地高阳镇,安州,1374.0,22881,Gaoyang Xian,Xian,高阳县,POINT,CHGIS,115.7742,115.913,PL000000002249,38.6889,东汉,高陽,24.0,220.0,found,False,True,False,False,,1
